miwisoft mijosearch 2.0.0 for joomla!,[miwisoft](cpe_vendor) [mijosearch](cpe_product) [2.0.0](cpe_version) for joomla!
webbigt cybersoldier 1.5.5 for wordpress,[webbigt](cpe_vendor) [cybersoldier](cpe_product) [1.5.5](cpe_version) for wordpress
hotosm tasking manager 3.4.2,[hotosm](cpe_vendor) [tasking manager](cpe_product) [3.4.2](cpe_version)
vmware intelligent hub 5.1.0 iphone os,[vmware](cpe_vendor) [intelligent hub](cpe_product) [5.1.0](cpe_version) iphone os
canonical whoopsie 0.2.9,[canonical](cpe_vendor) [whoopsie](cpe_product) [0.2.9](cpe_version)
checksec canopy 3.5.3,[checksec](cpe_vendor) [canopy](cpe_product) [3.5.3](cpe_version)
wordplus better messages 1.9.8.149 for wordpress,[wordplus](cpe_vendor) [better messages](cpe_product) [1.9.8.149](cpe_version) for wordpress
hp solution center 90.0.146.0,[hp](cpe_vendor) [solution center](cpe_product) [90.0.146.0](cpe_version)
tejimaya openpne 3.0.6,[tejimaya](cpe_vendor) [openpne](cpe_product) [3.0.6](cpe_version)
kernel util-linux 2.12h,[kernel](cpe_vendor) [util-linux](cpe_product) [2.12h](cpe_version)
tenancy multi-tenant 0.4.4,[tenancy](cpe_vendor) [multi-tenant](cpe_product) [0.4.4](cpe_version)
numfocus pandas 0.22.0,[numfocus](cpe_vendor) [pandas](cpe_product) [0.22.0](cpe_version)
guzzlephp psr-7 1.6.1,[guzzlephp](cpe_vendor) [psr-7](cpe_product) [1.6.1](cpe_version)
netscape directory server 1.3 patch 5,[netscape](cpe_vendor) [directory server](cpe_product) [1.3](cpe_version) patch 5
huawei emui 8.0,[huawei](cpe_vendor) [emui](cpe_product) [8.0](cpe_version)
interspire email marketer 5.5.6,[interspire](cpe_vendor) [email marketer](cpe_product) [5.5.6](cpe_version)
nih (not invented here) libzip 0.8,[nih](cpe_vendor) (not invented here) [libzip](cpe_product) [0.8](cpe_version)
codeermeneer companion sitemap generator 3.1.5 for wordpress,[codeermeneer](cpe_vendor) [companion sitemap generator](cpe_product) [3.1.5](cpe_version) for wordpress
azul zulu 8.54 (8 update 292),[azul](cpe_vendor) [zulu](cpe_product) 8.54 ([8](cpe_version) update 292)
powerdns recursor 4.1.0 release candidate 2,[powerdns](cpe_vendor) [recursor](cpe_product) [4.1.0](cpe_version) release candidate 2
tinycouch tiny password (com.tinycouch.android.freepassword) application 1.01 for android,[tinycouch](cpe_vendor) [tiny password](cpe_product) (com.tinycouch.android.freepassword) application [1.01](cpe_version) for android
hp f9d36 firmware 1830a,[hp](cpe_vendor) [f9d36 firmware](cpe_product) [1830a](cpe_version)
advancemame advancecomp 1.20,[advancemame](cpe_vendor) [advancecomp](cpe_product) [1.20](cpe_version)
teamlead pdf-light-viewer 1.3.6 for wordpress,[teamlead](cpe_vendor) [pdf-light-viewer](cpe_product) [1.3.6](cpe_version) for wordpress
360 safe router p1 firmware 2.0.61.58897,[360](cpe_vendor) [safe router p1 firmware](cpe_product) [2.0.61.58897](cpe_version)
sync oxygen xml editor 20.0,[sync](cpe_vendor) [oxygen xml editor](cpe_product) [20.0](cpe_version)
mobatek mobaxterm 12.1,[mobatek](cpe_vendor) [mobaxterm](cpe_product) [12.1](cpe_version)
expressjs method-override 2.0.1 for node.js,[expressjs](cpe_vendor) [method-override](cpe_product) [2.0.1](cpe_version) for node.js
rocomotion p up board random 1.14,[rocomotion](cpe_vendor) [p up board random](cpe_product) [1.14](cpe_version)
absolunet kafe 2.1.0,[absolunet](cpe_vendor) [kafe](cpe_product) [2.1.0](cpe_version)
wpmaz multisite post duplicator 1.6.4 for wordpress,[wpmaz](cpe_vendor) [multisite post duplicator](cpe_product) [1.6.4](cpe_version) for wordpress
opendev octavia 0.5.0 for openstack,[opendev](cpe_vendor) [octavia](cpe_product) [0.5.0](cpe_version) for openstack
kde ktexteditor 5.36.0 release candidate 1,[kde](cpe_vendor) [ktexteditor](cpe_product) [5.36.0](cpe_version) release candidate 1
intelbras ncloud 300 firmware 1.0,[intelbras](cpe_vendor) [ncloud 300 firmware](cpe_product) [1.0](cpe_version)
mossle lemon 1.6.1,[mossle](cpe_vendor) [lemon](cpe_product) [1.6.1](cpe_version)
netflix priam 1.1.43,[netflix](cpe_vendor) [priam](cpe_product) [1.1.43](cpe_version)
juniper junos 20.3 r3-s2,[juniper](cpe_vendor) [junos](cpe_product) [20.3](cpe_version) r3-s2
apache software foundation pdfbox 1.6.0,[apache](cpe_vendor) software foundation [pdfbox](cpe_product) [1.6.0](cpe_version)
jetbrains kotlin 1.4.0 dev 7436,[jetbrains](cpe_vendor) [kotlin](cpe_product) [1.4.0](cpe_version) dev 7436
forescout counteract 8.0,[forescout](cpe_vendor) [counteract](cpe_product) [8.0](cpe_version)
libretro retroarch 1.6.7,[libretro](cpe_vendor) [retroarch](cpe_product) [1.6.7](cpe_version)
vuze bittorrent client 4.6.0.4,[vuze](cpe_vendor) [bittorrent client](cpe_product) [4.6.0.4](cpe_version)
nervos foundation ckb (the common knowledge base) 0.37.0 release candidate 1 for rust,[nervos](cpe_vendor) foundation [ckb](cpe_product) (the common knowledge base) [0.37.0](cpe_version) release candidate 1 for rust
etruel wpematico rss feed fetcher 1.7.0 for wordpress,[etruel](cpe_vendor) [wpematico rss feed fetcher](cpe_product) [1.7.0](cpe_version) for wordpress
gnome epiphany 1.7.6,[gnome](cpe_vendor) [epiphany](cpe_product) [1.7.6](cpe_version)
bitnami containers 6.0.2-debian-9-r15 for laravel,[bitnami](cpe_vendor) [containers](cpe_product) [6.0.2-debian-9-r15](cpe_version) for laravel
ibericode mailchimp 3.1.3 for wordpress,[ibericode](cpe_vendor) [mailchimp](cpe_product) [3.1.3](cpe_version) for wordpress
linuxsampler libgig 4.1.0,[linuxsampler](cpe_vendor) [libgig](cpe_product) [4.1.0](cpe_version)
iiong wp editor.md 6.1.3 for wordpress,[iiong](cpe_vendor) [wp editor.md](cpe_product) [6.1.3](cpe_version) for wordpress
artifex gpl ghostscript 4.41,[artifex](cpe_vendor) [gpl ghostscript](cpe_product) [4.41](cpe_version)
thunderdome planning poker 1.12.2,[thunderdome](cpe_vendor) [planning poker](cpe_product) [1.12.2](cpe_version)
bittorrent utorrent 2.0.3,[bittorrent](cpe_vendor) [utorrent](cpe_product) [2.0.3](cpe_version)
jenkins p4 1.9.1 for jenkins,[jenkins](cpe_vendor) [p4](cpe_product) [1.9.1](cpe_version) for jenkins
thephpleague flysystem 0.2.5,[thephpleague](cpe_vendor) [flysystem](cpe_product) [0.2.5](cpe_version)
airties air 5750 firmware 1.0.0.18,[airties](cpe_vendor) [air 5750 firmware](cpe_product) [1.0.0.18](cpe_version)
ibm maximo anywhere 7.6.3.0,[ibm](cpe_vendor) [maximo anywhere](cpe_product) [7.6.3.0](cpe_version)
intel xeon e3-1240 5,[intel](cpe_vendor) [xeon e3-1240](cpe_product) [5](cpe_version)
aki-null yorufukurou (nightowl) 2.92,[aki-null](cpe_vendor) [yorufukurou](cpe_product) (nightowl) [2.92](cpe_version)
keyidentity linotp 2.9.3,[keyidentity](cpe_vendor) [linotp](cpe_product) [2.9.3](cpe_version)
purethemes listeo 1.3.4 for wordpress,[purethemes](cpe_vendor) [listeo](cpe_product) [1.3.4](cpe_version) for wordpress
pediapress mwlib 0.12.11,[pediapress](cpe_vendor) [mwlib](cpe_product) [0.12.11](cpe_version)
nicehash miner 1.7.1.0,[nicehash](cpe_vendor) [miner](cpe_product) [1.7.1.0](cpe_version)
plainware shiftcontroller 4.3.5 for wordpress,[plainware](cpe_vendor) [shiftcontroller](cpe_product) [4.3.5](cpe_version) for wordpress
